Full_name	Short_name	Origin
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	Drug metabolism others	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	Unsaturated fatty acids synthesis 	
KEGG_ABC_TRANSPORTERS	ABC transporters	
KEGG_RIBOSOME	Ribosome	
KEGG_RNA_DEGRADATION	RNA degradation	
KEGG_RNA_POLYMERASE	RNA polymerase	
KEGG_DNA_REPLICATION	DNA replication	
KEGG_SPLICEOSOME	Spliceosome	
KEGG_PROTEASOME	Proteasome	
KEGG_PROTEIN_EXPORT	Protein export	
KEGG_PPAR_SIGNALING_PATHWAY	PPAR signaling	
KEGG_BASE_EXCISION_REPAIR	Base excision repair genes_1	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	Nucelotide excision repair genes_1	
KEGG_MISMATCH_REPAIR	Mismatch repair genes_1	
KEGG_HOMOLOGOUS_RECOMBINATION	Homologous recombination genes_1	
KEGG_MAPK_SIGNALING_PATHWAY	MAPK signaling	
KEGG_ERBB_SIGNALING_PATHWAY	ERBB signaling	
KEGG_CALCIUM_SIGNALING_PATHWAY	Calcium signaling	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Cytokine-cytokine receptor interaction	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	Chemokine signaling	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Phosphatidylinositol signaling	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Neuroactive ligand receptor interaction	
KEGG_CELL_CYCLE	Cell cycle genes_1	
KEGG_OOCYTE_MEIOSIS	Oocyte meiosis	
KEGG_P53_SIGNALING_PATHWAY	P53 pathway_1	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Ubiquitin mediated proteolysis	
KEGG_REGULATION_OF_AUTOPHAGY	Autophagy regulation	
KEGG_ENDOCYTOSIS	Endocytosis	
KEGG_PEROXISOME	Peroxisome	
KEGG_MTOR_SIGNALING_PATHWAY	MTOR signaling	
KEGG_APOPTOSIS	Apoptosis_1	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Vascular smooth muscle contraction	
KEGG_WNT_SIGNALING_PATHWAY	WNT signaling	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	Dorso-ventral axis formation	
KEGG_NOTCH_SIGNALING_PATHWAY	NOTCH signaling_1	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	Hedgehog signaling_1	
KEGG_TGF_BETA_SIGNALING_PATHWAY	TGF-beta signaling_1	
KEGG_AXON_GUIDANCE	Axon guidance	
KEGG_VEGF_SIGNALING_PATHWAY	VEGF signaling	
KEGG_FOCAL_ADHESION	Focal adhesion	
KEGG_ECM_RECEPTOR_INTERACTION	ECM receptor interaction	
KEGG_CELL_ADHESION_MOLECULES_CAMS	Cell adhesion molecules	
KEGG_ADHERENS_JUNCTION	Adherens junction	
KEGG_TIGHT_JUNCTION	Tight junction	
KEGG_GAP_JUNCTION	Gap junction	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Complement and coagulation	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Antigen processing and presentation	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	TOLL-like receptor signaling	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	NOD-like receptor signaling	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	RIG-I-like receptor signaling	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Cytosolic DNA sensing	
KEGG_JAK_STAT_SIGNALING_PATHWAY	JAK-STAT signaling	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	Hematopoietic cell lineage	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Natural killer cell cytotoxicity	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	T-cell receptor signaling	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	B-cell receptor signaling	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	FC-epsilon RI signaling	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	FC-gamma R phagocytosis	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Leukocyte transendothelial migration	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Intestinal immune network	
KEGG_LONG_TERM_POTENTIATION	Long-term potentiation	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Neurotrophin signaling	
KEGG_LONG_TERM_DEPRESSION	Long-term depression	
KEGG_OLFACTORY_TRANSDUCTION	Olfactory transduction	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Actin cytoskeleton regulation	
KEGG_INSULIN_SIGNALING_PATHWAY	Insulin signaling	
KEGG_GNRH_SIGNALING_PATHWAY	GNRH signaling	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Progesterone mediated oocyte maturation	
KEGG_MELANOGENESIS	Melanogenesis	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	Adipocyte signaling	
KEGG_TYPE_II_DIABETES_MELLITUS	Diabetes mellitus type I	
KEGG_TYPE_I_DIABETES_MELLITUS	Diabetes mellitus type II	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Maturity onset young diabetes	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	Aldosterone regulated sodium reabsorption	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Vasopressin regulated water reabsorption	
KEGG_ALZHEIMERS_DISEASE	Alzheimers disease	
KEGG_PARKINSONS_DISEASE	Parkinsons disease	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	ALS	
KEGG_HUNTINGTONS_DISEASE	Hungtingtons disease	
KEGG_PRION_DISEASES	Prion diseases	
KEGG_VIBRIO_CHOLERAE_INFECTION	Vcholerae infection	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Hpylori infection	
KEGG_LEISHMANIA_INFECTION	Leishmania infection	
KEGG_PATHWAYS_IN_CANCER	Pathways in cancer	
KEGG_COLORECTAL_CANCER	Colorectal cancer	
KEGG_RENAL_CELL_CARCINOMA	Renal cell carcinoma	
KEGG_PANCREATIC_CANCER	Pancreatic cancer	
KEGG_ENDOMETRIAL_CANCER	Endometrial cancer	
KEGG_GLIOMA	Glioma	
KEGG_PROSTATE_CANCER	Prostate cancer	
KEGG_THYROID_CANCER	Thyroid cancer	
KEGG_BASAL_CELL_CARCINOMA	Basal cell carcinoma	
KEGG_MELANOMA	Melanoma	
KEGG_BLADDER_CANCER	Bladder cancer	
KEGG_CHRONIC_MYELOID_LEUKEMIA	Chronic myeloid leukemia	
KEGG_ACUTE_MYELOID_LEUKEMIA	Acute myeloid leukemia	
KEGG_SMALL_CELL_LUNG_CANCER	Small cell lung cancer	
KEGG_NON_SMALL_CELL_LUNG_CANCER	Non-small cell lung cancer	
KEGG_ASTHMA	Asthma	
KEGG_AUTOIMMUNE_THYROID_DISEASE	Autoimmune thyroid disease	
KEGG_ALLOGRAFT_REJECTION	Allograft rejection_1	
KEGG_GRAFT_VERSUS_HOST_DISEASE	Graft versus host disease	
KEGG_VIRAL_MYOCARDITIS	Viral myocarditis	
CELL_PROLIFERATION_GO_0008283	Cell proliferation	
battle_tgfb_mf_Spp1	TGF-beta SPP1 macrophage_1	
battle_tgfb_mf_C1Q	TGF-beta C1QA macrophage_1	
battle_tgfb_caf_spp1	TGF-beta SPP1 CAF_1	
battle_tgfb_caf_Pdgfra	TGF-beta PDGFRA CAF_1	
battle_tgfb_caf_Lrrc15_Fibroblasts	TGF-beta LRRC15 CAF_1	
battle_tcell_gzmk_cd8	T-Cell GZMK CD8	
battle_tcell_effector_cd8	T-Cell effector CD8_1	
battle_tcell_term_diff_cd8	T-Cell differentiation CD8	
F_TBRS	TGF-beta response stroma	
Colostage	TGF-beta colorectal	
Colostage_Plus	TGF-beta colorectal plus	
Colostage_one	TGF-beta colorectal one	
gene_set_cyt	Cytolitic activity	
gene_set_t_cell_gep_6	T-Cell 6 genes	
gene_set_t_cell_gep_10	T-Cell 10 genes	
gene_set_t_cell_gep_18	T-Cell 18 genes	
gene_set_prolif	Proliferation potential	
gene_set_tim3	Tumor immune microenvironment 3 genes	
gene_set_t_cell_effector	T-Cell effector	
gene_set_myeloid_inflammation	Myeloid inflammation	
gene_set_stroma_emt_shortened	EMT stromal	
gene_set_Pan_TBRS	TGF-beta response stroma PanFibroblasts _1	
gene_set_impres		
gene_set_12_chemokine	T-Cell chemokines	
gene_set_immune_checkpoint_genes	Immune checkpoints_1	
gene_set_cd8_t_effector	T-Cell effector CD8_2	
gene_set_infiltrate	Immune infiltration	
CD_8_T_effector	T-Cell effector CD8_3	
DDR	DNA damage response	
APM	Antigen presenting genes	
Immune_Checkpoint	Immune checkpoints_2	
CC_Reg	Cell cycle regulation	
Fanconi	Fanconi pathway	
gene19	TGF-beta response stroma PanFibroblasts_2 	
tcga	Cell cycle regulation TCGA	
Histones	Histone genes	
EMT1	EMT_1	
EMT2	EMT_2	
EMT3	EMT_3	
WNT_target	WNT targets	
FGFR3_related	FGFR3 related	
Cell_cycle	Cell cycle genes	
Mismatch_Repair	Mismatch repair genes_2	
Homologous_recombination	Homologous recombination genes	
Nucleotide_excision_repair	Nucelotide excision repair genes	
DNA_replication	DNA replication genes	
Base_excision_repair	Base excision repair genes	
gene_set_tgfb_mf_Spp1	TGF-beta SPP1 macrophage_1	
gene_set_tgfb_mf_C1Q	TGF-beta C1QA macrophage_1	
gene_set_tgfb_caf_spp1	TGF-beta SPP1 CAF_1	
gene_set_tgfb_caf_Pdgfra	TGF-beta PDGFRA CAF_1	
gene_set_tgfb_caf_Lrrc15_Fibroblasts	TGF-beta LRRC15 CAF_1	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNF-alpha signaling via NFK-beta	
HALLMARK_HYPOXIA	Hypoxia genes	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Cholesterol homeostasis	
HALLMARK_MITOTIC_SPINDLE	Mitotic spindle	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	WNT Beta-catenin	
HALLMARK_TGF_BETA_SIGNALING	TGF-beta signaling	
HALLMARK_IL6_JAK_STAT3_SIGNALING	IL6-JAK-STAT3 signaling	
HALLMARK_DNA_REPAIR	DNA repair genes	
HALLMARK_G2M_CHECKPOINT	G2M checkpoint	
HALLMARK_APOPTOSIS	Apoptosis_2	
HALLMARK_NOTCH_SIGNALING	NOTCH signaling_2	
HALLMARK_ADIPOGENESIS	Adipogenesis	
HALLMARK_ESTROGEN_RESPONSE_EARLY	Estrogen response early	
HALLMARK_ESTROGEN_RESPONSE_LATE	Estrogen response late	
HALLMARK_ANDROGEN_RESPONSE	Androgen response	
HALLMARK_MYOGENESIS	Myogenesis	
HALLMARK_PROTEIN_SECRETION	Protein secretion	
HALLMARK_INTERFERON_ALPHA_RESPONSE	Interferon-alpha response	
HALLMARK_INTERFERON_GAMMA_RESPONSE	Interferon-gamma response	
HALLMARK_APICAL_JUNCTION	Apical junction	
HALLMARK_APICAL_SURFACE	Apical surface	
HALLMARK_HEDGEHOG_SIGNALING	Hedgehog signaling	
HALLMARK_COMPLEMENT	Complement	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded protein response	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	PI3K-AKT-MTOR signaling	
HALLMARK_MTORC1_SIGNALING	MTORC1 signaling	
HALLMARK_E2F_TARGETS	E2F targets	
HALLMARK_MYC_TARGETS_V1	MYC targets_1	
HALLMARK_MYC_TARGETS_V2	MYC targets_2	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT_1	
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	
HALLMARK_XENOBIOTIC_METABOLISM	Xenobiotic metabolism	
HALLMARK_FATTY_ACID_METABOLISM	Fatty acid metabolism_2	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative phosphorylation_2	
HALLMARK_GLYCOLYSIS	Glycolisis	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Reactive Oxygen Species	
HALLMARK_P53_PATHWAY	P53 pathway_2	
HALLMARK_UV_RESPONSE_UP	UV response upregulated	
HALLMARK_UV_RESPONSE_DN	UV response downregulated	
HALLMARK_ANGIOGENESIS	Angiogenesis	
HALLMARK_HEME_METABOLISM	Heme metabolism	
HALLMARK_COAGULATION	Coagulation	
HALLMARK_IL2_STAT5_SIGNALING	IL2-STAT5 signaling	
HALLMARK_BILE_ACID_METABOLISM	Bile acid metabolism	
HALLMARK_PEROXISOME	Peroxisome	
HALLMARK_ALLOGRAFT_REJECTION	Allograft rejection_2	
HALLMARK_SPERMATOGENESIS	Spermatogenesis	
HALLMARK_KRAS_SIGNALING_UP	KRAS signaling upregulated	
HALLMARK_KRAS_SIGNALING_DN	KRAS signaling downregulated	
HALLMARK_PANCREAS_BETA_CELLS	Pancreatic beta cells	
